customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,R_Score,F_Score,M_Score,RFMClass_text,Segment,Segment_Sort
Spurgeon Stracke,2,12,97,1,2,2,122,4,5,4,454,VIP,1
Squire Emmerich,2,11,103,1,2,2,122,4,5,4,454,VIP,1
Squire Mayer,2,12,104,1,2,2,122,4,5,4,454,VIP,1
Stacey Fadel,2,82,115,4,2,1,421,1,5,4,154,Big Spenders,3
Stacey Huel,3,80,176,4,1,1,411,1,5,5,155,Big Spenders,3
Staci Shanahan PhD,2,39,129,3,2,1,321,3,5,5,355,Big Spenders,3
Stacia Cole,3,75,145,4,1,1,411,1,5,5,155,Big Spenders,3
Stacia Hyatt,1,86,75,4,4,2,442,1,3,4,134,Big Spenders,3
Stacia West,3,6,151,1,1,1,111,5,5,5,555,VIP,1
Stacy Abshire DVM,2,75,117,4,2,1,421,1,5,4,154,Big Spenders,3
Stacy Larson,3,5,148,1,1,1,111,5,5,5,555,VIP,1
Stacy Rosenbaum,4,0,224,1,1,1,111,5,5,5,555,VIP,1
Stafford Willms,1,47,27,3,4,4,344,2,3,1,231,Regular,5
Stan Abbott,1,47,67,3,4,3,343,2,3,3,233,Big Spenders,3
Stan Pagac,4,59,189,3,1,1,311,2,5,5,255,Big Spenders,3
Stan Schamberger,3,5,182,1,1,1,111,5,5,5,555,VIP,1
Stanislaus Aufderhar,1,63,69,4,4,2,442,2,3,3,233,Big Spenders,3
Stanislaus Russel,1,32,21,2,4,4,244,3,3,1,331,Regular,5
Stanley Ondricka,1,47,59,3,4,3,343,2,3,3,233,Big Spenders,3
Star Gulgowski MD,2,53,116,3,2,1,321,2,5,4,254,Big Spenders,3
Star Murazik,1,13,79,2,4,2,242,4,3,4,434,Loyal,2
Starla Frami,1,18,77,2,4,2,242,4,3,4,434,Loyal,2
Starling Fadel Sr.,6,12,333,1,1,1,111,4,5,5,455,VIP,1
Starling Welch,1,75,49,4,4,3,443,1,3,2,132,Regular,5
Starr Jenkins,3,40,205,3,1,1,311,3,5,5,355,Big Spenders,3
Stasia Fay,1,50,44,3,4,4,344,2,3,2,232,Regular,5
Stefan Keebler,1,85,30,4,4,4,444,1,3,1,131,Regular,5
Stefan Rath,1,47,29,3,4,4,344,2,3,1,231,Regular,5
Stefani Kshlerin,4,12,171,1,1,1,111,4,5,5,455,VIP,1
Stefani Streich,3,46,138,3,1,1,311,2,5,5,255,Big Spenders,3
Stella Zieme,1,43,59,3,4,3,343,3,3,3,333,Big Spenders,3
Stephaine Graham,1,47,51,3,4,3,343,2,3,2,232,Regular,5
Stephan Russel,1,14,68,2,4,2,242,4,3,3,433,Loyal,2
Stephani Crist,3,37,150,2,1,1,211,3,5,5,355,Big Spenders,3
Stephani Jewess DDS,2,38,115,2,2,1,221,3,5,4,354,Big Spenders,3
Stephani McCullough,1,45,43,3,4,4,344,3,3,2,332,Regular,5
Stephania Dooley,4,13,224,2,1,1,211,4,5,5,455,VIP,1
Stephanie Goldner,2,5,105,1,2,2,122,5,5,4,554,VIP,1
Stephanie Gusikowski,1,47,33,3,4,4,344,2,3,1,231,Regular,5
Stephanie Hammes,1,40,44,3,4,4,344,3,3,2,332,Regular,5
Stephanie McCullough,1,74,45,4,4,3,443,1,3,2,132,Regular,5
Stephanie Wuckert,1,88,71,4,4,2,442,1,3,3,133,Big Spenders,3
Stephenie Bahringer PhD,1,85,44,4,4,4,444,1,3,2,132,Regular,5
Stephenie Sanford DVM,12,4,617,1,1,1,111,5,5,5,555,VIP,1
Stephon Weimann,1,35,79,2,4,2,242,3,3,4,334,Big Spenders,3
Stetson Beier,1,5,78,1,4,2,142,5,3,4,534,Loyal,2
Stetson Ferry DVM,1,68,77,4,4,2,442,1,3,4,134,Big Spenders,3
Stetson Medhurst,7,30,366,2,1,1,211,3,5,5,355,Big Spenders,3
Stevan Skiles IV,1,72,52,4,4,3,443,1,3,2,132,Regular,5
Steve Bruen DVM,2,54,86,3,2,2,322,2,5,4,254,Big Spenders,3
Steve Hackett V,2,11,68,1,2,2,122,4,5,3,453,Loyal,2
Steve Konopelski,16,3,705,1,1,1,111,5,5,5,555,VIP,1
Steve Mann,1,45,77,3,4,2,342,3,3,4,334,Big Spenders,3
Steven Stehr,1,12,65,1,4,3,143,4,3,3,433,Loyal,2
Stevie Fisher,1,83,45,4,4,3,443,1,3,2,132,Regular,5
Stevie Hirthe DDS,1,54,58,3,4,3,343,2,3,3,233,Big Spenders,3
Steward Bergnaum,1,41,43,3,4,4,344,3,3,2,332,Regular,5
Steward Farrell,1,78,33,4,4,4,444,1,3,1,131,Regular,5
Steward Haley,1,11,63,1,4,3,143,4,3,3,433,Loyal,2
Steward Nikolaus,1,5,70,1,4,2,142,5,3,3,533,Loyal,2
Steward Spinka,3,79,139,4,1,1,411,1,5,5,155,Big Spenders,3
Steward Stanton I,1,58,22,3,4,4,344,2,3,1,231,Regular,5
Stewart Bradtke I,1,87,51,4,4,3,443,1,3,2,132,Regular,5
Stone Friesen,1,18,31,2,4,4,244,4,3,1,431,Loyal,2
Stone Lemke,2,9,77,1,2,2,122,5,5,4,554,VIP,1
Stonewall Flatley,1,47,57,3,4,3,343,2,3,2,232,Regular,5
Stoney Hane V,2,4,112,1,2,1,121,5,5,4,554,VIP,1
Stormy Lakin,1,46,80,3,4,2,342,2,3,4,234,Big Spenders,3
Stormy McLaughlin,2,33,101,2,2,2,222,3,5,4,354,Big Spenders,3
Stuart Lubowitz,1,32,77,2,4,2,242,3,3,4,334,Big Spenders,3
Stuart Mayert I,4,11,212,1,1,1,111,4,5,5,455,VIP,1
Sue Friesen,1,5,76,1,4,2,142,5,3,4,534,Loyal,2
Sue Jacobi,3,3,172,1,1,1,111,5,5,5,555,VIP,1
Sula Treutel,1,72,68,4,4,2,442,1,3,3,133,Big Spenders,3
Sullivan Boyer,1,88,36,4,4,4,444,1,3,1,131,Regular,5
Sullivan Leannon,1,78,53,4,4,3,443,1,3,2,132,Regular,5
Sumner Beahan,1,61,37,4,4,4,444,2,3,1,231,Regular,5
Sunday Hegmann DDS,1,87,73,4,4,2,442,1,3,3,133,Big Spenders,3
Sunny Kling,1,75,21,4,4,4,444,1,3,1,131,Regular,5
Sunny Lehner,1,88,21,4,4,4,444,1,3,1,131,Regular,5
Sunshine Cole,1,89,69,4,4,2,442,1,3,3,133,Big Spenders,3
Sunshine Emard,1,45,79,3,4,2,342,3,3,4,334,Big Spenders,3
Sunshine Simonis,1,81,32,4,4,4,444,1,3,1,131,Regular,5
Susana Spinka,1,47,60,3,4,3,343,2,3,3,233,Big Spenders,3
Susann Hoeger,2,13,93,2,2,2,222,4,5,4,454,VIP,1
Susann Morissette,1,46,25,3,4,4,344,2,3,1,231,Regular,5
Susanna Olson,1,7,47,1,4,3,143,5,3,2,532,Loyal,2
Susannah Bernier,1,57,30,3,4,4,344,2,3,1,231,Regular,5
Susannah Cartwright,1,65,24,4,4,4,444,2,3,1,231,Regular,5
Susannah Hahn,1,47,34,3,4,4,344,2,3,1,231,Regular,5
Susanne Mann,1,60,59,4,4,3,443,2,3,3,233,Big Spenders,3
Susanne Torp,3,20,130,2,1,1,211,4,5,5,455,VIP,1
Susie Price,1,70,50,4,4,3,443,1,3,2,132,Regular,5
Susie Sauer,2,4,89,1,2,2,122,5,5,4,554,VIP,1
Suzann Ankunding,1,6,26,1,4,4,144,5,3,1,531,Loyal,2
Suzann Bins,3,4,166,1,1,1,111,5,5,5,555,VIP,1
Suzann Koss,2,39,89,3,2,2,322,3,5,4,354,Big Spenders,3
Suzanna Beatty,1,32,76,2,4,2,242,3,3,4,334,Big Spenders,3
Suzanne Kuhn,1,11,21,1,4,4,144,4,3,1,431,Loyal,2
Suzette Hartmann,1,69,73,4,4,2,442,1,3,3,133,Big Spenders,3
Suzette Pollich,4,47,162,3,1,1,311,2,5,5,255,Big Spenders,3
Suzie Bins MD,2,47,106,3,2,2,322,2,5,4,254,Big Spenders,3
Suzy Jones,8,0,417,1,1,1,111,5,5,5,555,VIP,1
Sybil Kirlin,1,89,55,4,4,3,443,1,3,2,132,Regular,5
Sybilla Koss,1,67,67,4,4,3,443,1,3,3,133,Big Spenders,3
Sybilla Steuber,2,5,104,1,2,2,122,5,5,4,554,VIP,1
Syble Koepp,10,1,542,1,1,1,111,5,5,5,555,VIP,1
Syble Pacocha MD,1,29,63,2,4,3,243,3,3,3,333,Big Spenders,3
Syble Wilkinson,1,38,56,2,4,3,243,3,3,2,332,Regular,5
Sydell O'Connell,1,75,60,4,4,3,443,1,3,3,133,Big Spenders,3
Sydell West,1,3,28,1,4,4,144,5,3,1,531,Loyal,2
Sydnee Fisher,2,30,63,2,2,3,223,3,5,3,353,Big Spenders,3
Sydnee Hilpert,1,71,32,4,4,4,444,1,3,1,131,Regular,5
Sydney Cassin,1,81,46,4,4,3,443,1,3,2,132,Regular,5
Sydney Rogahn,2,45,90,3,2,2,322,3,5,4,354,Big Spenders,3
Sydni Auer,2,4,120,1,2,1,121,5,5,4,554,VIP,1
Sydni Bayer,1,17,23,2,4,4,244,4,3,1,431,Loyal,2
Sydni Turcotte,1,17,33,2,4,4,244,4,3,1,431,Loyal,2
Sydni Ward,3,46,169,3,1,1,311,2,5,5,255,Big Spenders,3
Sydnie Hayes,1,89,46,4,4,3,443,1,3,2,132,Regular,5
Sydnie Rau,1,82,27,4,4,4,444,1,3,1,131,Regular,5
Sydnie Sawayn DVM,1,47,36,3,4,4,344,2,3,1,231,Regular,5
Syed Abshire,1,55,56,3,4,3,343,2,3,2,232,Regular,5
Syed Ebert,2,51,117,3,2,1,321,2,5,4,254,Big Spenders,3
Syed Keeling,3,19,174,2,1,1,211,4,5,5,455,VIP,1
Sylas Russel,1,9,27,1,4,4,144,5,3,1,531,Loyal,2
Sylva Littel,2,12,78,1,2,2,122,4,5,4,454,VIP,1
Sylvan McLaughlin,6,11,302,1,1,1,111,4,5,5,455,VIP,1
Sylvania Murray DDS,1,81,56,4,4,3,443,1,3,2,132,Regular,5
Sylvanus Bergstrom,5,4,264,1,1,1,111,5,5,5,555,VIP,1
Sylvia Haag,1,33,62,2,4,3,243,3,3,3,333,Big Spenders,3
Sylvia Windler,3,12,147,1,1,1,111,4,5,5,455,VIP,1
Symone McClure,2,57,90,3,2,2,322,2,5,4,254,Big Spenders,3
Syreeta Turcotte,3,4,187,1,1,1,111,5,5,5,555,VIP,1
Tabatha Mueller,1,60,59,4,4,3,443,2,3,3,233,Big Spenders,3
Tabetha McLaughlin,1,81,32,4,4,4,444,1,3,1,131,Regular,5
Tad Langosh IV,1,87,34,4,4,4,444,1,3,1,131,Regular,5
Tahj Bode,1,73,37,4,4,4,444,1,3,1,131,Regular,5
Tahj Wiza I,1,48,39,3,4,4,344,2,3,2,232,Regular,5
Tai Tillman,1,76,30,4,4,4,444,1,3,1,131,Regular,5
Taj Dare,2,9,69,1,2,2,122,5,5,3,553,Loyal,2
Taja Buckridge,1,18,24,2,4,4,244,4,3,1,431,Loyal,2
Takisha Rath,8,4,395,1,1,1,111,5,5,5,555,VIP,1
Tal Lebsack,3,30,177,2,1,1,211,3,5,5,355,Big Spenders,3
Tal Moen,8,5,370,1,1,1,111,5,5,5,555,VIP,1
Tal Toy,1,28,74,2,4,2,242,3,3,3,333,Big Spenders,3
Tal Yundt,1,47,36,3,4,4,344,2,3,1,231,Regular,5
Talan Hansen,2,47,116,3,2,1,321,2,5,4,254,Big Spenders,3
Talan Lehner,1,46,45,3,4,3,343,2,3,2,232,Regular,5
Talan Nader Sr.,1,47,65,3,4,3,343,2,3,3,233,Big Spenders,3
Talan Predovic,2,4,89,1,2,2,122,5,5,4,554,VIP,1
Talen Murphy,2,10,100,1,2,2,122,4,5,4,454,VIP,1
Talen Roob Jr.,2,87,96,4,2,2,422,1,5,4,154,Big Spenders,3
Talia Abbott,2,53,121,3,2,1,321,2,5,4,254,Big Spenders,3
Talia Boehm,1,40,48,3,4,3,343,3,3,2,332,Regular,5
Talia Heidenreich,1,79,68,4,4,2,442,1,3,3,133,Big Spenders,3
Taliyah Mann DVM,1,47,22,3,4,4,344,2,3,1,231,Regular,5
Tallie Gleason,1,65,71,4,4,2,442,2,3,3,233,Big Spenders,3
Tallie Roberts,1,9,22,1,4,4,144,5,3,1,531,Loyal,2
Talmadge Tromp,3,7,98,1,1,2,112,5,5,4,554,VIP,1
Talmage Hickle I,1,37,30,2,4,4,244,3,3,1,331,Regular,5
Talmage VonRueden,2,6,98,1,2,2,122,5,5,4,554,VIP,1
Tamala Johnson,1,65,76,4,4,2,442,2,3,4,234,Big Spenders,3
Tamala Turcotte,1,37,58,2,4,3,243,3,3,3,333,Big Spenders,3
Tamara Casper,1,8,61,1,4,3,143,5,3,3,533,Loyal,2
Tambra Johnston,1,56,34,3,4,4,344,2,3,1,231,Regular,5
Tameka Wintheiser DDS,1,3,25,1,4,4,144,5,3,1,531,Loyal,2
Tamekia Corwin,4,11,166,1,1,1,111,4,5,5,455,VIP,1
Tamela Lebsack,1,10,74,1,4,2,142,4,3,3,433,Loyal,2
Tamela Witting,1,67,59,4,4,3,443,1,3,3,133,Big Spenders,3
Tamera Schimmel,6,11,287,1,1,1,111,4,5,5,455,VIP,1
Tami Quitzon,5,21,319,2,1,1,211,4,5,5,455,VIP,1
Tamia Batz,2,34,77,2,2,2,222,3,5,4,354,Big Spenders,3
Tamia Casper,3,21,103,2,1,2,212,4,5,4,454,VIP,1
Tamia Hills,1,60,52,4,4,3,443,2,3,2,232,Regular,5
Tamia Langworth,1,54,57,3,4,3,343,2,3,2,232,Regular,5
Tamia Waters,2,35,146,2,2,1,221,3,5,5,355,Big Spenders,3
Tamia Zieme,1,25,52,2,4,3,243,4,3,2,432,Loyal,2
Tamica Boyle,2,24,92,2,2,2,222,4,5,4,454,VIP,1
Tamica Cummerata,1,88,44,4,4,4,444,1,3,2,132,Regular,5
Tamica Nader,1,51,80,3,4,2,342,2,3,4,234,Big Spenders,3
Tamica VonRueden,1,45,38,3,4,4,344,3,3,1,331,Regular,5
Tamie Braun,1,48,75,3,4,2,342,2,3,4,234,Big Spenders,3
Tamie Moore,1,10,65,1,4,3,143,4,3,3,433,Loyal,2
Tamika Labadie,1,76,51,4,4,3,443,1,3,2,132,Regular,5
Tamika Smith,1,23,77,2,4,2,242,4,3,4,434,Loyal,2
Tamiko Greenholt,2,12,40,1,2,4,124,4,5,2,452,Loyal,2
Tamiko Grimes,2,77,150,4,2,1,421,1,5,5,155,Big Spenders,3
Tamisha Crooks,1,24,51,2,4,3,243,4,3,2,432,Loyal,2
Tamisha Hills,1,24,31,2,4,4,244,4,3,1,431,Loyal,2
Tamisha Witting,1,37,21,2,4,4,244,3,3,1,331,Regular,5
Tammi Sporer,2,79,101,4,2,2,422,1,5,4,154,Big Spenders,3
Tammie Gorczany,1,3,27,1,4,4,144,5,3,1,531,Loyal,2
Tammie Leffler,2,84,87,4,2,2,422,1,5,4,154,Big Spenders,3
Tamra Beatty DVM,1,76,43,4,4,4,444,1,3,2,132,Regular,5
Tamya Klocko,1,20,20,2,4,4,244,4,3,1,431,Loyal,2
Tamya Quigley,1,13,38,2,4,4,244,4,3,1,431,Loyal,2
Tamya Sipes,1,73,30,4,4,4,444,1,3,1,131,Regular,5
Tandy Blanda III,1,82,47,4,4,3,443,1,3,2,132,Regular,5
Tandy Bogisich,2,19,64,2,2,3,223,4,5,3,453,Loyal,2
Tanesha Conn,4,4,239,1,1,1,111,5,5,5,555,VIP,1
Tanesha Ernser,6,11,314,1,1,1,111,4,5,5,455,VIP,1
Tanesha Kling,1,21,70,2,4,2,242,4,3,3,433,Loyal,2
Tanesha Kreiger,2,43,122,3,2,1,321,3,5,4,354,Big Spenders,3
Tania McLaughlin,1,81,32,4,4,4,444,1,3,1,131,Regular,5
Tanika Jaskolski,4,4,150,1,1,1,111,5,5,5,555,VIP,1
Tanika Schaefer,1,12,78,1,4,2,142,4,3,4,434,Loyal,2
Taniyah Becker,1,19,71,2,4,2,242,4,3,3,433,Loyal,2
Taniyah Kuvalis,2,75,114,4,2,1,421,1,5,4,154,Big Spenders,3
Tanja Barrows,1,40,53,3,4,3,343,3,3,2,332,Regular,5
Tanner Reinger,3,20,213,2,1,1,211,4,5,5,455,VIP,1
Tanya Hoeger,1,87,40,4,4,4,444,1,3,2,132,Regular,5
Tanya Wintheiser,4,19,154,2,1,1,211,4,5,5,455,VIP,1
Tara Marvin,1,70,50,4,4,3,443,1,3,2,132,Regular,5
Tari Thiel,1,47,54,3,4,3,343,2,3,2,232,Regular,5
Tarik Konopelski I,1,88,51,4,4,3,443,1,3,2,132,Regular,5
Tarik Marvin Jr.,3,11,175,1,1,1,111,4,5,5,455,VIP,1
Taryn Maggio,1,76,44,4,4,4,444,1,3,2,132,Regular,5
Tasha Muller,1,4,30,1,4,4,144,5,3,1,531,Loyal,2
Tate Sporer Sr.,1,6,32,1,4,4,144,5,3,1,531,Loyal,2
Tate Turcotte,2,89,105,4,2,2,422,1,5,4,154,Big Spenders,3
Tatiana Goldner,1,47,60,3,4,3,343,2,3,3,233,Big Spenders,3
Tatiana Wiza,1,43,36,3,4,4,344,3,3,1,331,Regular,5
Tatianna Spinka,1,46,73,3,4,2,342,2,3,3,233,Big Spenders,3
Tatsuo Cormier,2,34,102,2,2,2,222,3,5,4,354,Big Spenders,3
Tatsuo Feil MD,1,88,25,4,4,4,444,1,3,1,131,Regular,5
Tatum Haag,7,4,438,1,1,1,111,5,5,5,555,VIP,1
Tatyanna Auer MD,1,44,22,3,4,4,344,3,3,1,331,Regular,5
Tatyanna Ernser,1,83,22,4,4,4,444,1,3,1,131,Regular,5
Tatyanna Smith,3,9,178,1,1,1,111,5,5,5,555,VIP,1
Taurus Franecki PhD,1,89,37,4,4,4,444,1,3,1,131,Regular,5
Tavares Corkery,2,53,108,3,2,1,321,2,5,4,254,Big Spenders,3
Tavares Schuster III,2,47,123,3,2,1,321,2,5,5,255,Big Spenders,3
Tavaris Johnston,1,28,56,2,4,3,243,3,3,2,332,Regular,5
Tavian Bahringer DDS,1,6,74,1,4,2,142,5,3,3,533,Loyal,2
Tavion Powlowski,2,34,120,2,2,1,221,3,5,4,354,Big Spenders,3
Tavion Thiel III,1,51,75,3,4,2,342,2,3,4,234,Big Spenders,3
Tavion Wintheiser,3,42,175,3,1,1,311,3,5,5,355,Big Spenders,3
Tawana Dooley,1,29,38,2,4,4,244,3,3,1,331,Regular,5
Tawanda Balistreri MD,1,57,44,3,4,4,344,2,3,2,232,Regular,5
Tawanna Conn,1,74,64,4,4,3,443,1,3,3,133,Big Spenders,3
Tawanna Leffler PhD,1,26,32,2,4,4,244,3,3,1,331,Regular,5
Tawny Mante,1,2,23,1,4,4,144,5,3,1,531,Loyal,2
Tawnya Oberbrunner,6,56,338,3,1,1,311,2,5,5,255,Big Spenders,3
Tayla Conn,1,90,27,4,4,4,444,1,3,1,131,Regular,5
Tayler Schoen,2,8,90,1,2,2,122,5,5,4,554,VIP,1
Taylor Crist,6,2,277,1,1,1,111,5,5,5,555,VIP,1
Taylor Lind,2,11,112,1,2,1,121,4,5,4,454,VIP,1
Taylor McGlynn,2,76,133,4,2,1,421,1,5,5,155,Big Spenders,3
Taylor Pollich Jr.,10,6,574,1,1,1,111,5,5,5,555,VIP,1
Taylor Reilly,1,10,25,1,4,4,144,4,3,1,431,Loyal,2
Taylor Renner,2,46,134,3,2,1,321,2,5,5,255,Big Spenders,3
Taylor Wiegand,2,29,124,2,2,1,221,3,5,5,355,Big Spenders,3
Tayshaun Dietrich,1,35,77,2,4,2,242,3,3,4,334,Big Spenders,3
Tayshaun Feest,10,5,486,1,1,1,111,5,5,5,555,VIP,1
Tayshaun Torp,3,39,122,3,1,1,311,3,5,4,354,Big Spenders,3
Tea Langworth,1,6,23,1,4,4,144,5,3,1,531,Loyal,2
Teagan Daniel Jr.,1,52,22,3,4,4,344,2,3,1,231,Regular,5
Teddie Maggio,1,20,21,2,4,4,244,4,3,1,431,Loyal,2
Teddie Swift,2,8,129,1,2,1,121,5,5,5,555,VIP,1
Teddie Vandervort,4,13,158,2,1,1,211,4,5,5,455,VIP,1
Teddie Walter,4,45,168,3,1,1,311,3,5,5,355,Big Spenders,3
Teddie Wiza,2,74,121,4,2,1,421,1,5,4,154,Big Spenders,3
Teddy Konopelski,1,52,28,3,4,4,344,2,3,1,231,Regular,5
Teela Hackett,1,10,32,1,4,4,144,4,3,1,431,Loyal,2
Teela Ritchie,1,89,48,4,4,3,443,1,3,2,132,Regular,5
Teena Bashirian DVM,1,65,21,4,4,4,444,2,3,1,231,Regular,5
Teena Bode,3,9,133,1,1,1,111,5,5,5,555,VIP,1
Teena Ratke,1,11,37,1,4,4,144,4,3,1,431,Loyal,2
Tegan O'Conner,1,21,59,2,4,3,243,4,3,3,433,Loyal,2
Tena Boyer,12,9,566,1,1,1,111,5,5,5,555,VIP,1
Tenisha Dach,1,30,31,2,4,4,244,3,3,1,331,Regular,5
Tenisha Daugherty,2,73,93,4,2,2,422,1,5,4,154,Big Spenders,3
Tenisha Gorczany,1,6,28,1,4,4,144,5,3,1,531,Loyal,2
Tenisha Hills,1,47,52,3,4,3,343,2,3,2,232,Regular,5
Tennessee Klein,1,14,71,2,4,2,242,4,3,3,433,Loyal,2
Tennessee McKenzie,1,80,41,4,4,4,444,1,3,2,132,Regular,5
Tennessee Stark,6,4,299,1,1,1,111,5,5,5,555,VIP,1
Tennie Kshlerin,1,52,25,3,4,4,344,2,3,1,231,Regular,5
Tennie Kunde,1,59,60,3,4,3,343,2,3,3,233,Big Spenders,3
Tennie Rolfson PhD,1,5,39,1,4,4,144,5,3,2,532,Loyal,2
Tera Collins,1,60,64,4,4,3,443,2,3,3,233,Big Spenders,3
Terance Parisian,1,18,24,2,4,4,244,4,3,1,431,Loyal,2
Terence Durgan,1,18,23,2,4,4,244,4,3,1,431,Loyal,2
Teresa McDermott,4,8,221,1,1,1,111,5,5,5,555,VIP,1
Terese Nader,1,79,79,4,4,2,442,1,3,4,134,Big Spenders,3
Teressa Spencer,1,87,52,4,4,3,443,1,3,2,132,Regular,5
Teri Hilll DVM,2,46,105,3,2,2,322,2,5,4,254,Big Spenders,3
Teri Kunde,3,40,206,3,1,1,311,3,5,5,355,Big Spenders,3
Terra Schulist,2,68,94,4,2,2,422,1,5,4,154,Big Spenders,3
Terrell Johnson,1,18,23,2,4,4,244,4,3,1,431,Loyal,2
Terrell Mitchell,1,31,43,2,4,4,244,3,3,2,332,Regular,5
Terrence Gerlach,1,36,78,2,4,2,242,3,3,4,334,Big Spenders,3
Terri Runolfsdottir,3,11,144,1,1,1,111,4,5,5,455,VIP,1
Terrie Ward,5,21,228,2,1,1,211,4,5,5,455,VIP,1
Terry Adams,1,21,43,2,4,4,244,4,3,2,432,Loyal,2
Terry Becker,1,20,44,2,4,4,244,4,3,2,432,Loyal,2
Terry Berge,4,78,203,4,1,1,411,1,5,5,155,Big Spenders,3
Terry Bode,1,0,69,1,4,2,142,5,3,3,533,Loyal,2
Terry Haley,1,56,42,3,4,4,344,2,3,2,232,Regular,5
Terry Heathcote,1,74,63,4,4,3,443,1,3,3,133,Big Spenders,3
Terry Langosh,1,27,48,2,4,3,243,3,3,2,332,Regular,5
Terry Smith,2,42,100,3,2,2,322,3,5,4,354,Big Spenders,3
Terry Turner,3,64,94,4,1,2,412,2,5,4,254,Big Spenders,3
Tess Connelly,1,55,50,3,4,3,343,2,3,2,232,Regular,5
Tess Schuppe MD,1,14,51,2,4,3,243,4,3,2,432,Loyal,2
Tessie Metz MD,1,71,21,4,4,4,444,1,3,1,131,Regular,5
Tevin Thiel,1,80,45,4,4,3,443,1,3,2,132,Regular,5
Texas Keebler,2,20,133,2,2,1,221,4,5,5,455,VIP,1
Thad Lynch,1,49,56,3,4,3,343,2,3,2,232,Regular,5
Thad Marks,2,12,119,1,2,1,121,4,5,4,454,VIP,1
Thalia Ritchie DVM,2,35,90,2,2,2,222,3,5,4,354,Big Spenders,3
Thalia Romaguera,1,88,50,4,4,3,443,1,3,2,132,Regular,5
Thea Schmeler,1,16,22,2,4,4,244,4,3,1,431,Loyal,2
Theadore Parisian,2,45,150,3,2,1,321,3,5,5,355,Big Spenders,3
Thekla Huel,1,13,58,2,4,3,243,4,3,3,433,Loyal,2
Theo Bahringer,2,42,148,3,2,1,321,3,5,5,355,Big Spenders,3
Theo Buckridge,1,71,43,4,4,4,444,1,3,2,132,Regular,5
Theo Osinski,2,6,127,1,2,1,121,5,5,5,555,VIP,1
Theodis Williamson,1,82,46,4,4,3,443,1,3,2,132,Regular,5
Theodocia Hettinger,2,10,86,1,2,2,122,4,5,4,454,VIP,1
Theodocia Rutherford,1,80,54,4,4,3,443,1,3,2,132,Regular,5
Theodocia Smitham,2,79,92,4,2,2,422,1,5,4,154,Big Spenders,3
Theodocia Zieme,1,41,50,3,4,3,343,3,3,2,332,Regular,5
Theodora Boyle,1,86,56,4,4,3,443,1,3,2,132,Regular,5
Theodora Ledner,2,36,122,2,2,1,221,3,5,4,354,Big Spenders,3
Theodora Tromp,2,16,104,2,2,2,222,4,5,4,454,VIP,1
Theodosia Feil,2,5,96,1,2,2,122,5,5,4,554,VIP,1
Theodosia Wisozk,4,12,194,1,1,1,111,4,5,5,455,VIP,1
Theola Beer MD,1,76,57,4,4,3,443,1,3,2,132,Regular,5
Theola O'Conner,1,89,62,4,4,3,443,1,3,3,133,Big Spenders,3
Theola Rutherford,2,47,101,3,2,2,322,2,5,4,254,Big Spenders,3
Theresa Kuvalis,2,36,100,2,2,2,222,3,5,4,354,Big Spenders,3
Theresa Schneider,1,21,49,2,4,3,243,4,3,2,432,Loyal,2
Therese Effertz,1,64,54,4,4,3,443,2,3,2,232,Regular,5
Theresia Morissette,3,12,173,1,1,1,111,4,5,5,455,VIP,1
Theresia Mosciski,2,18,45,2,2,3,223,4,5,2,452,Loyal,2
Theta Carter DVM,2,47,113,3,2,1,321,2,5,4,254,Big Spenders,3
Thomas Parisian,2,79,105,4,2,2,422,1,5,4,154,Big Spenders,3
Thomas Ullrich,2,12,96,1,2,2,122,4,5,4,454,VIP,1
Thomasina Pfannerstill MD,1,81,75,4,4,2,442,1,3,4,134,Big Spenders,3
Thomasina Welch,3,74,155,4,1,1,411,1,5,5,155,Big Spenders,3
Thor Abbott,1,14,62,2,4,3,243,4,3,3,433,Loyal,2
Thor Harber,3,44,131,3,1,1,311,3,5,5,355,Big Spenders,3
Thor Moen,3,76,159,4,1,1,411,1,5,5,155,Big Spenders,3
Thor Muller,3,13,190,2,1,1,211,4,5,5,455,VIP,1
Thor Schultz,1,88,59,4,4,3,443,1,3,3,133,Big Spenders,3
Thora Kuphal,1,43,59,3,4,3,343,3,3,3,333,Big Spenders,3
Thora Sauer,5,31,221,2,1,1,211,3,5,5,355,Big Spenders,3
Thornton Heaney,7,13,359,2,1,1,211,4,5,5,455,VIP,1
Thos Gerhold,3,47,169,3,1,1,311,2,5,5,255,Big Spenders,3
Thresa Flatley DVM,1,47,41,3,4,4,344,2,3,2,232,Regular,5
Thurlow Kunze,1,84,40,4,4,4,444,1,3,2,132,Regular,5
Thurman Hammes,1,6,27,1,4,4,144,5,3,1,531,Loyal,2
Thurman Welch,2,43,108,3,2,1,321,3,5,4,354,Big Spenders,3
Thursa Schmidt,1,8,22,1,4,4,144,5,3,1,531,Loyal,2
Thurston Armstrong,1,34,69,2,4,2,242,3,3,3,333,Big Spenders,3
Thurston Bahringer,1,8,47,1,4,3,143,5,3,2,532,Loyal,2
Thurston McDermott,1,7,23,1,4,4,144,5,3,1,531,Loyal,2
Tia Hauck,1,11,65,1,4,3,143,4,3,3,433,Loyal,2
Tia Zulauf,1,52,43,3,4,4,344,2,3,2,232,Regular,5
